Date,Aayla,Admiral Ackbar,Anakin Skywalker,Asaj,BB-8,Boba Fett,Captain Rex,Chewbacca,Commander Cody,Count Dooku,Dengar,Emperor Palpatine,Finn,Greedo,Han Solo,Jabba The Hutt,Jango Fett,Kylo Ren,Leia Organa,Lobot,Luke Skywalker,Mace Windu,Maz Kanata,Mon Mothma,Obi-Wan Kenobi,Owen Lars,Padmé Amidala,Plo Koon,Poe Dameron,Qui-Gon Jinn,R2-D2,Rey,Rose Tico,Sabé,Senator Bail Organa,Snoke,Wampa,Watto,Wedge Antilles,Wilhuf,Yoda
May 2018,0.13,0.31,12.10,0.24,1.85,2.94,0.16,5.65,0.04,0.49,0.07,1.88,0.30,0.33,13.23,2.24,0.35,3.64,5.14,0.11,4.25,0.48,0.13,0.07,4.09,0.07,1.49,0.09,0.29,0.45,2.57,4.38,0.28,0.07,0.09,1.19,0.18,0.10,0.07,0.31,6.38
Jun 2018,0.14,0.26,10.88,0.24,1.51,1.96,0.14,3.92,0.05,0.56,0.05,1.66,0.26,0.36,9.40,1.98,0.30,2.92,3.69,0.06,3.38,0.40,0.07,0.09,3.58,0.05,1.28,0.09,0.24,0.43,2.01,3.85,0.40,0.07,0.08,1.04,0.16,0.09,0.05,0.30,5.32
Jul 2018,0.12,0.22,9.96,0.21,1.29,1.48,0.19,3.00,0.06,0.49,0.06,1.79,0.25,0.30,5.31,1.69,0.26,3.19,3.75,0.06,3.57,0.37,0.10,0.05,3.08,0.04,1.25,0.10,0.22,0.39,1.76,4.04,0.14,0.07,0.06,1.17,0.16,0.11,0.04,0.28,4.98
Aug 2018,0.17,0.21,9.68,0.23,1.34,1.38,0.19,2.78,0.07,0.46,0.06,1.53,0.22,0.17,3.52,1.78,0.25,2.61,3.49,0.04,3.00,0.39,0.06,0.05,2.93,0.05,1.15,0.10,0.20,0.37,1.82,3.44,0.13,0.07,0.06,0.89,0.16,0.10,0.05,0.30,4.88
Sep 2018,0.12,0.20,9.47,0.20,1.25,1.31,0.14,3.18,0.07,0.39,0.05,1.47,0.20,0.20,5.58,1.79,0.34,2.42,3.55,0.06,2.90,0.35,0.05,0.05,2.67,0.03,1.09,0.14,0.19,0.33,1.73,3.35,0.07,0.05,0.07,0.79,0.15,0.11,0.04,0.22,4.88
Oct 2018,0.11,0.19,10.10,0.18,1.34,1.69,0.17,3.69,0.05,0.42,0.06,1.63,0.17,0.15,4.46,1.88,0.29,2.56,4.32,0.06,3.02,0.30,0.06,0.04,2.70,0.02,1.34,0.07,0.19,0.35,1.92,3.74,0.06,0.07,0.06,0.71,0.14,0.09,0.04,0.22,5.49
Nov 2018,0.11,0.18,9.53,0.18,1.77,1.28,0.13,3.11,0.05,0.44,0.06,1.44,0.16,0.14,2.90,1.73,0.25,2.29,3.19,0.06,2.85,0.35,0.03,0.05,2.91,0.03,1.07,0.07,0.16,0.34,2.12,3.31,0.05,0.08,0.06,0.75,0.13,0.08,0.03,0.23,5.34
Dec 2018,0.12,0.22,12.16,0.18,2.23,1.53,0.17,3.89,0.07,0.56,0.07,1.85,0.23,0.18,3.11,1.94,0.33,2.85,3.82,0.06,3.53,0.40,0.06,0.06,3.31,0.05,1.35,0.09,0.19,0.46,2.57,3.57,0.09,0.08,0.06,1.00,0.19,0.08,0.04,0.26,6.08
Jan 2019,0.13,0.21,9.98,0.19,1.35,1.28,0.16,3.11,0.07,1.04,0.06,1.61,0.19,0.14,3.61,1.80,0.33,2.33,3.32,0.06,3.07,0.40,0.06,0.06,2.80,0.05,1.18,0.08,0.14,0.39,1.91,3.43,0.07,0.08,0.08,0.76,0.15,0.09,0.03,0.25,4.98
Feb 2019,0.12,0.20,9.79,0.16,1.06,1.26,0.14,2.93,0.06,0.58,0.05,1.49,0.18,0.14,2.89,1.94,0.26,2.19,3.66,0.05,2.87,0.42,0.05,0.06,2.76,0.04,1.21,0.10,0.16,0.39,1.67,3.13,0.09,0.07,0.05,0.70,0.15,0.10,0.03,0.27,5.02
Mar 2019,0.11,0.18,8.96,0.17,0.94,1.17,0.15,2.73,0.06,0.53,0.05,1.39,0.16,0.15,2.22,1.88,0.30,1.91,3.40,0.05,2.82,0.37,0.07,0.04,2.43,0.03,1.11,0.08,0.18,0.35,1.59,2.96,0.06,0.07,0.06,0.60,0.13,0.10,0.04,0.23,4.86
Apr 2019,0.12,0.20,9.82,0.20,0.96,1.35,0.16,2.54,0.05,0.52,0.07,5.37,0.21,0.18,2.17,1.82,0.28,2.47,3.47,0.06,3.39,0.42,0.07,0.04,2.53,0.05,1.20,0.08,0.17,0.40,1.62,3.81,0.10,0.06,0.07,0.97,0.13,0.13,0.04,0.24,4.95